nikkud,transliteration,word
@,,@
ALD,ALD,ALD
ALS,ALS,ALS
ATP,Ay-Ti-Pi,ATP
BMP,BMP,BMP
EISA,EISA,EISA
EMDR,EMDR,EMDR
EPO,EPO,EPO
FLOPS,flops,FLOPS
GIF,GIF,GIF
IGF,IGF,IGF
Java,Java,Java
MTOC,MTOC,MTOC
NAD,NAD,NAD
PCR,PCR,PCR
PNG,PNG,PNG
SQL,SQL,SQL
SVG,SVG,SVG
TBS,TBS,TBS
TGV,TGV,TGV
קלינומניה,,clinomania
pH,pH,pH
־יָאדָה,yada,־יאדה
א' פְּרוֹסְתֵטִית,alef prostetit,א' פרוסתטית
אָ-קַפֶּלָּה,a-kapela,א-קפלה
אֵאוּגֶנִיקָה,eugenika,אאוגניקה
אֵאוֹזִינוֹפִיל,e'ozinofil,אאוזינופיל
אָאוּטִינְג,auting,אאוטינג
אָאוּץ',,אאוץ'
אָב {{משני|ג}},av,אב
אָב {{משני|ב}},av,אב
אָב {{משני|א}},av,אב
אֵב,ev,אב
"אַב הָעוֹרְקִים, אֲבִי הָעוֹרְקִים","av ha'orkim, avi ha'orkim",אב העורקים
אַב טִיפּוּס,avtipus,אב טיפוס
אַבָּא,aba,אבא
אַבָּא רַבָּה,aba rabah,אבא רבה
אֲבָבִית,avavit,אבבית
אָבַד חָסִיד מִן הָאָרֶץ,avad khasid min ha'arets,אבד חסיד מן הארץ
אֲבֵדָה,aveda,אבדה
אָבְדָה תִּקְוָתוֹ,avda tikvato,אבדה תקותו
אָבְדוּ עֶשְׁתּוֹנוֹתָיו,avdu ׳eshtonotav,אבדו עשתונותיו
אֲבַדּוֹן,avadon,אבדון
אָבְדַן הַכָּרָה,ovdan hakara,אבדן הכרה
אבדעי,abaday,אבדעי
אֵבֶה,eve,אבה
אַבּוּ,abu,אבו
אַבּוּ אַרְבַּע,abu arba,אבו ארבע
אַבּוּ עָלִי,abu ali,אבו עלי
אַבּוּב,abuv,אבוב
אַבּוּבָן,abuvan,אבובן
אָבוּד,avud,אבוד
אֶבוֹלוּצְיָה,evolutsya,אבולוציה
אֶבוֹלוּצְיוֹנִי,evulutsioni,אבולוציוני
אֶבּוּלְיוֹמֶטֶר,ebuliometer,אבוליומטר
אָבוּס,avus,אבוס
אֵבוּס,evus,אבוס
אָבוֹקָדוֹ,avokado,אבוקדו
אֲבוּקָה,avuka,אבוקה
אָבּוֹרִיגִ'ינִי,aborigini,אבוריג'יני
אֲבוֹת הַמָזוֹן,avot hamazon,אבות המזון
אַבְזָם,avzam,אבזם
"אֲבִזָר, אַבְזָר","avizar, avzar",אבזר
אִבְחָה,ivkha,אבחה
אִבחוּן,ivkhun,אבחון
אִבְחוּן יֶתֶר,ivkhun yeter,אבחון יתר
אִבְחַת חֶרֶב,ivkhat kherev,אבחת חרב
אַבְטָחָה,avtakha,אבטחה
אַבְטָחַת מֵידָע,"avtakhat meida,avtakhat meda",אבטחת מידע
אֲבַטִּיחַ,avatiakh,אבטיח
אַבְטָלָה,avetala,אבטלה
אָבִיב,aviv,אביב
אֲבִיב הָעַמִּים,aviv ha'amim,אביב העמים
אֲבִיבִי,avivi,אביבי
אֶבְיוֹן,evyon,אביון
אֲבִיּוֹנָה,aviyona,אביונה
אֶבְיוֹנָה,evyona,אביונה
אֶבְיוֹנוּת,evyonut,אביונות
אָבִיךְ,avikh,אביך
אָבִיק,avik,אביק
אָבִּיק,abik,אביק
אַבִּיר,abir,אביר
אֹבֶךְ,ovekh,אבך
אֲבָל,aval,אבל
אֵבֶל,evel,אבל
אָבֵל,avel,אבל
אֲבֵלוּת,,אבלות
אִבְּן,iben,אבן
אֶבֶן,even,אבן
אֶבֶן גְּוִיל,even gvil,אבן גויל
אֶבֶן גָּזִית,even gazit,אבן גזית
אֶבֶן דֶּרֶךְ,even derekh,אבן דרך
אֶבֶן הַחֲכָמִים,even hakhakhamim,אבן החכמים
אֶבֶן הָרֹאשָׁה,even harosha,אבן הראשה
אֶבֶן הַשְׁחָזָה,even hashkhazah,אבן השחזה
אֶבֶן הַשְּׁתִיָּה,even hashtiyah,אבן השתיה
אֶבֶן חֵן,even khen,אבן חן
אֶבֶן יְרוּשַׁלְמִית,,אבן ירושלמית
אֶבֶן מִיל,even mil,אבן מיל
אֶבֶן מִקִּיר תִּזְעַק,even mikir tiz'ak,אבן מקיר תזעק
אֶבֶן מַשְׁחֶזֶת,even mashkhezet,אבן משחזת
אֶבֶן מִשְׁתַּלֶּבֶת,even mishtalevet,אבן משתלבת
אֶבֶן שׁוֹאֶבֶת,even sho'evet,אבן שואבת
אַבְנֵט,avnet,אבנט
אָבְנָיִם,ovnayim,אבנים
אַבְנִית,avnit,אבנית
אַבְּסוּרְד,absurd,אבסורד
אָ‏בְּ‏סִינְתְ,absint,אבסינת
אֲבַעְבּוּעוֹת שְׁחֹרוֹת,ava׳bu׳ot shkhorot,אבעבועות שחרות
אָבָץ,avats,אבץ
אֶבֶק,evek,אבק
אָבָק,avak,אבק
אֲבַק הַצָּתָה,avak hatsatah,אבק הצתה
אָבָק פְּרָחִים,avak prakhim,אבק פרחים
אֲבָק שְׂרֵפָה,avak srefah,אבק שרפה
אֲבַק תִּחוּל,avak tikhul,אבק תחול
אַבְקָה (גם: אֲבָקָה),"avka, avaka",אבקה
אִבְקָה,ivka,אבקה
אֶבְקוֹעַ,evko׳a,אבקוע
אַבְקָן,avkan,אבקן
אַבְקַת כְּבִיסָה,,אבקת כביסה
אֵבֶר,ever,אבר
אֶבְרָה,evra,אברה
אַבְרָהָם,avraham,אברהם
אֶבְרוֹן,evron,אברון
אַבַּרְזִין,abarzin,אברזין
אַבְרֵךְ,avrekh,אברך
אַבֵּרַצְיָה,aberatsia,אברציה
אַבְּרָקָדַבְּרָה,abrakadabra,אברקדברה
אָגֶ'נְדָה,adjenda,אג'נדה
אִגְבּוּר,,אגבור
אֶגֶד,eged,אגד
אַגָּדָה,agada,אגדה
אֲגֻדָּה,aguda,אגדה
אַגָּדִי,agadi,אגדי
אֶגוֹ,ego,אגו
אֶגוֹאִיסְט,ego'ist,אגואיסט
אֲגוּדָל,agudal,אגודל
אֱגוֹז,egoz,אגוז
אֱגוֹז אֲדָמָה,,אגוז אדמה
אֱגוֹז לוּז,egoz luz,אגוז לוז
אֱגוֹז מֶלֶךְ,,אגוז מלך
אֶגוֹלוֹגִיָה,egologiya,אגולוגיה
אִגּוּף,i''guf,אגוף
אֵגוֹצֶנְטְרִי,egotsentri,אגוצנטרי
אֵגוֹצֶנְטְרִיּוּת,egotsentriyut,אגוצנטריות
אֲגוֹרָה,agora,אגורה
אָגוֹרָה,agora,אגורה
אָגוֹרָנוֹמוֹס,agoranomos,אגורנומוס
אָגוֹרָפוֹבְּיָה,agorfobya,אגורפוביה
אֶגְזוֹז,egzoz,אגזוז
אֵגֶל,egel,אגל
אֲגַם,agam,אגם
אַגָּן,agan,אגן
אֹגֶן,ogen,אגן
אַגָּן הַצָּתָה,agan hatsatah'',אגן הצתה
אַגַּן הַשָּׁקָה,agan hashakah,אגן השקה
אַגַּן נִקּוּז,agan nikuz,אגן נקוז
אַגָּן שֶׁמֶן,agan shemen,אגן שמן
אַגָּן תִּחוּל,agan tikhul,אגן תחול
אַגְנוֹסְטִי,agnosti,אגנוסטי
אַגָּס,agas,אגס
אַגָּס סוּרִי,agas suri,אגס סורי
